date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:58:17	7407/7407	---M--	200	added ('OK')	image/jpeg	etag:%22214d-5008be4b3dc40%22	https://orteil.dashnet.org/cookieclicker/img/darkNoiseTopBar.jpg	orteil.dashnet.org/cookieclicker/img/darkNoiseTopBar.jpg	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:18	10070/10070	---M--	200	added ('OK')	image/png	etag:%222f94-5237f34128140%22	https://orteil.dashnet.org/cookieclicker/img/shadedBorders.png	orteil.dashnet.org/cookieclicker/img/shadedBorders.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:19	3689/3689	---M--	200	added ('OK')	image/png	etag:%221518-522cef2764d80%22	https://orteil.dashnet.org/cookieclicker/img/spinnyBig.png	orteil.dashnet.org/cookieclicker/img/spinnyBig.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:20	1316/1316	---M--	200	added ('OK')	image/png	etag:%22afc-522cef31e2640%22	https://orteil.dashnet.org/cookieclicker/img/spinnySmall.png	orteil.dashnet.org/cookieclicker/img/spinnySmall.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:21	11600/11600	---M--	200	added ('OK')	image/gif	etag:%222d50-5e27ce7d6f640%22	https://orteil.dashnet.org/cookieclicker/img/tinyglobe.gif	orteil.dashnet.org/cookieclicker/img/tinyglobe.gif	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:22	157/157	---M--	200	added ('OK')	image/png	etag:%22231-4eea01d9f4d80%22	https://orteil.dashnet.org/cookieclicker/img/blackGradient.png	orteil.dashnet.org/cookieclicker/img/blackGradient.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:23	1968/1968	---M--	200	added ('OK')	image/png	etag:%22d9b-5243d6acd55c0%22	https://orteil.dashnet.org/cookieclicker/img/shadedBordersSoft.png	orteil.dashnet.org/cookieclicker/img/shadedBordersSoft.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:24	143/143	---M--	200	added ('OK')	image/png	etag:%223ea-51e42a2a5c140%22	https://orteil.dashnet.org/cookieclicker/img/frameBorder.png	orteil.dashnet.org/cookieclicker/img/frameBorder.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:25	259/259	---M--	200	added ('OK')	image/png	etag:%22118-4eea02df43600%22	https://orteil.dashnet.org/cookieclicker/img/money.png	orteil.dashnet.org/cookieclicker/img/money.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:26	244/244	---M--	200	added ('OK')	image/png	etag:%2245d-51605823963c0%22	https://orteil.dashnet.org/cookieclicker/img/heavenlyMoney.png	orteil.dashnet.org/cookieclicker/img/heavenlyMoney.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
